GROWTH STAGE,Week,No of Leaves (Segmentation),Biomass Perimeter,Biomass Area,Convex Area,Convexhull Area,Biomass Convexhull Perimeter,Biomass Compactness,Biomass Solidity,Biomas Convexity,Dominant Leaf Major Axis Length,Biomass Major Axis Length,Biomass Minor Axis Length,Length of Skeleton,Length of Skeleton/Perimeter
Vegetative,1,2,3386.6,360550,416150,416220,2340.9,0.031436754,0.866248619,1.446708531,720.3,720.3,699.34,736.56,0.21749247
Vegetative,1,2,3854.1,206090,322710,322710,2114.6,0.013874296,0.638622912,1.822614206,667.94,667.94,554.28,690.29,0.179105368
Vegetative,1,2,836.01,17141,22917,24122,642.7,0.024525237,0.710596136,1.300777968,299.72,299.72,89.431,278.23,0.332807024
Vegetative,1,2,968.51,18208,29751,29751,655.53,0.019411273,0.612013042,1.477445731,266.48,266.48,143.04,232.42,0.239976872
Vegetative,1,2,1307.9,33800,49410,37410,870.08,0.019759121,0.903501738,1.503195108,308.51,308.51,215.74,306.85,0.234612738
Vegetative,1,2,1204,22734,36998,41098,761.61,0.015682774,0.553165604,1.580861596,340.12,340.12,136.91,303.66,0.252209302
Vegetative,1,2,1414.6,31016,53802,39410,896.66,0.015499528,0.787008374,1.577632547,364.9,364.9,201.48,327.26,0.23134455
Vegetative,1,2,1024.6,28416,48955,49836,726.65,0.02706788,0.570190224,1.41003234,298.7,287.9,243.48,254.26,0.248155378
Vegetative,1,2,798.05,18095,26789,36699,642.7,0.028411776,0.493065206,1.241714641,301.76,301.76,78.361,235.23,0.294755968
Vegetative,1,2,878.51,17898,36751,28681,643.47,0.023190552,0.624036819,1.365269554,288.34,288.34,143.04,232.42,0.264561587
Vegetative,1,2,1307.9,33800,49410,49410,870.08,0.019759121,0.68407205,1.503195108,348.48,348.48,215.74,306.85,0.234612738
Vegetative,1,2,1793.3,42894,63618,934.37,934.37,0.013337998,45.90686773,1.919261106,298.16,298.16,263.91,297.94,0.166140635
Vegetative,1,2,1986.4,39794,65761,894.43,894.43,0.010085192,44.49090482,2.220855741,307.19,307.19,269.89,284.69,0.143319573
Vegetative,1,2,1714,18534,39018,39222,498.75,0.006308811,0.472540921,3.436591479,315.12,315.12,241.34,298.78,0.174317386
Vegetative,1,2,1356,18416,50182,41702,795.66,0.010015576,0.441609515,1.704245532,437.1,437.1,271.46,277.45,0.204609145
Vegetative,1,2,1477.8,20851,48345,40446,778.66,0.00954763,0.515526875,1.897875838,298.7,298.7,348.67,199.34,0.134889701
Vegetative,1,2,968.51,18208,29751,29751,655.53,0.019411273,0.612013042,1.477445731,266.48,266.48,143.04,232.42,0.239976872
Vegetative,1,2,1307.9,33800,49410,37410,870.08,0.019759121,0.903501738,1.503195108,308.51,308.51,215.74,306.85,0.234612738
Vegetative,1,2,1204,22734,36998,41098,761.61,0.015682774,0.553165604,1.580861596,340.12,340.12,136.91,303.66,0.252209302
Vegetative,1,2,1328.5,36416,57812,37184,786.45,0.02063332,0.979345955,1.689236442,494.8,487.3,278.84,375.33,0.282521641
Vegetative,1,2,1394.3,48561,47254,47436,718.42,0.024979007,1.023716165,1.940786726,308.1,296.9,347.84,297.62,0.21345478
Vegetative,1,2,1417.8,47900,45012,45012,898.27,0.023828986,1.064160668,1.578367306,467.48,467.48,298.74,396.68,0.279785583
Vegetative,1,2,1763.4,46994,60218,4615.23,875.98,0.015112654,10.18237444,2.013059659,298.94,298.94,298.74,298.74,0.169411364
Vegetative,1,2,1896.4,40194,79861,764.34,798.34,0.011176385,52.58654525,2.375429015,298.56,298.56,279.78,279.78,0.147532166
Vegetative,1,2,1314,19634,40118,47822,541.61,0.011371508,0.410564175,2.426099961,280.16,280.16,201.92,312.46,0.237792998
Vegetative,1,2,1236.6,29816,49792,53802,865.66,0.019498037,0.554180142,1.428505418,364.9,364.9,201.48,327.26,0.264644994
Vegetative,1,2,1247.6,19816,50955,50836,696.65,0.01273108,0.389802502,1.790856241,308.7,296.9,273.48,234.26,0.187768516
Vegetative,1,2,1222,21511,36908.56,43996.24,498.28,0.014405163,0.488928145,2.452430475,257.75,257.75,185.77,287.46,0.235239935
Vegetative,1,2,1197.7,19023.36,48916.8,48802.56,668.78,0.013261542,0.389802502,1.790856241,296.35,285.02,262.54,224.89,0.187768516
Vegetative,1,2,1053.97,16740.56,43046.78,42946.25,588.53,0.015069934,0.389802502,1.790856241,260.79,250.82,231.04,197.9,0.187768516
Vegetative,2,2,1145.9,37328,54401,54401,918.09,0.028427671,0.686163857,1.248134714,302.5,302.5,244.59,292.16,0.254961166
Vegetative,2,3,749.65,23700,27108,27108,605.52,0.042172685,0.874280655,1.23802682,223.78,223.78,145.28,218.56,0.29154939
Vegetative,2,2,893.45,22766,31995,32344,713.92,0.028519784,0.703870888,1.251470753,323.46,323.46,110.21,293.05,0.327998209
Vegetative,2,2,2341.6,70054,1.22E+05,1.22E+05,1765.3,0.012776371,0.576576132,1.326460092,963.03,963.03,143.74,833.26,0.3558507
